,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,brand,model,consumption
0,3,gas,std,2,convertible,rwd,front,225.04399999999998,428.752,162.814,123.952,1155.752416,dohc,4,2.1,mpfi,3.47,2.68,9.0,111,5000,21,27,13495.0,alfa-romeo,giulia,9.8
1,3,gas,std,2,convertible,rwd,front,225.04399999999998,428.752,162.814,123.952,1155.752416,dohc,4,2.1,mpfi,3.47,2.68,9.0,111,5000,21,27,16500.0,alfa-romeo,stelvio,9.8
2,1,gas,std,2,hatchback,rwd,front,240.03,434.84799999999996,166.37,133.096,1280.490216,ohcv,6,2.5,mpfi,2.68,3.47,9.0,154,5000,19,26,16500.0,alfa-romeo,quadrifoglio,10.5
3,2,gas,std,4,sedan,fwd,front,253.492,448.56399999999996,168.148,137.922,1060.044504,ohc,4,1.8,mpfi,3.19,3.4,10.0,102,5500,24,30,13950.0,audi,100 ls,8.7
4,2,gas,std,4,sedan,4wd,front,252.47600000000003,448.56399999999996,168.656,137.922,1280.943808,ohc,5,2.2,mpfi,3.19,3.4,8.0,115,5500,18,22,17450.0,audi,100ls,11.8
5,2,gas,std,2,sedan,fwd,front,253.492,450.34200000000004,168.402,134.874,1137.155144,ohc,5,2.2,mpfi,3.19,3.4,8.5,110,5500,19,25,15250.0,audi,fox,10.7
6,1,gas,std,4,sedan,fwd,front,268.73199999999997,489.45799999999997,181.35600000000002,141.478,1290.015648,ohc,5,2.2,mpfi,3.19,3.4,8.5,110,5500,19,25,17710.0,audi,100ls,10.7
7,1,gas,std,4,wagon,fwd,front,268.73199999999997,489.45799999999997,181.35600000000002,141.478,1339.910768,ohc,5,2.2,mpfi,3.19,3.4,8.5,110,5500,19,25,18920.0,audi,5000,10.7
8,1,gas,turbo,4,sedan,fwd,front,268.73199999999997,489.45799999999997,181.35600000000002,141.986,1399.784912,ohc,5,2.1,mpfi,3.13,3.4,8.3,140,5500,17,20,23875.0,audi,4000,12.7
9,0,gas,turbo,2,hatchback,4wd,front,252.73,452.628,172.466,132.08,1384.816376,ohc,5,2.1,mpfi,3.13,3.4,7.0,160,5500,16,22,17859.167,audi,5000s (diesel),12.4
10,2,gas,std,2,sedan,rwd,front,257.048,449.07200000000006,164.59199999999998,137.922,1086.35284,ohc,4,1.8,mpfi,3.5,2.8,8.8,101,5800,23,29,16430.0,bmw,320i,9.0
11,0,gas,std,4,sedan,rwd,front,257.048,449.07200000000006,164.59199999999998,137.922,1086.35284,ohc,4,1.8,mpfi,3.5,2.8,8.8,101,5800,23,29,16925.0,bmw,320i,9.0
12,0,gas,std,2,sedan,rwd,front,257.048,449.07200000000006,164.59199999999998,137.922,1229.23432,ohc,6,2.7,mpfi,3.31,3.19,9.0,121,4250,21,28,20970.0,bmw,x1,9.6
13,0,gas,std,4,sedan,rwd,front,257.048,449.07200000000006,164.59199999999998,137.922,1254.18188,ohc,6,2.7,mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0,bmw,x3,9.6
14,1,gas,std,4,sedan,rwd,front,262.89,480.06,169.92600000000002,141.478,1385.72356,ohc,6,2.7,mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0,bmw,z4,10.5
15,0,gas,std,4,sedan,rwd,front,262.89,480.06,169.92600000000002,141.478,1465.10216,ohc,6,3.4,mpfi,3.62,3.39,8.0,182,5400,16,22,30760.0,bmw,x4,12.4
16,0,gas,std,2,sedan,rwd,front,262.89,492.252,172.466,136.398,1533.14096,ohc,6,3.4,mpfi,3.62,3.39,8.0,182,5400,16,22,41315.0,bmw,x5,12.4
17,0,gas,std,4,sedan,rwd,front,279.4,500.38,180.086,143.00199999999998,1589.83996,ohc,6,3.4,mpfi,3.62,3.39,8.0,182,5400,15,20,36880.0,bmw,x3,13.4
18,2,gas,std,2,hatchback,fwd,front,224.53600000000003,358.394,153.162,135.12800000000001,674.944896,l,3,1.0,2bbl,2.91,3.03,9.5,48,5100,47,53,5151.0,chevrolet,impala,4.7
19,1,gas,std,2,hatchback,fwd,front,240.03,395.98600000000005,161.544,132.08,850.0314079999999,ohc,4,1.5,2bbl,3.03,3.11,9.6,70,5400,38,43,6295.0,chevrolet,monte carlo,5.8
20,0,gas,std,4,sedan,fwd,front,240.03,403.35200000000003,161.544,132.08,865.907128,ohc,4,1.5,2bbl,3.03,3.11,9.6,70,5400,38,43,6575.0,chevrolet,vega 2300,5.8
21,1,gas,std,2,hatchback,fwd,front,237.99800000000002,399.54200000000003,162.052,129.03199999999998,850.938592,ohc,4,1.5,2bbl,2.97,3.23,9.41,68,5500,37,41,5572.0,dodge,rampage,6.0
22,1,gas,std,2,hatchback,fwd,front,237.99800000000002,399.54200000000003,162.052,129.03199999999998,850.938592,ohc,4,1.5,2bbl,2.97,3.23,9.4,68,5500,31,38,6377.0,dodge,challenger se,6.8
23,1,gas,turbo,2,hatchback,fwd,front,237.99800000000002,399.54200000000003,162.052,129.03199999999998,965.243776,ohc,4,1.6,mpfi,3.03,3.39,7.6,102,5500,24,30,7957.0,dodge,d200,8.7
24,1,gas,std,4,hatchback,fwd,front,237.99800000000002,399.54200000000003,162.052,128.524,892.215464,ohc,4,1.5,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,dodge,monaco (sw),6.8
25,1,gas,std,4,sedan,fwd,front,237.99800000000002,399.54200000000003,162.052,128.524,902.194488,ohc,4,1.5,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,dodge,colt hardtop,6.8
26,1,gas,std,4,sedan,fwd,front,237.99800000000002,399.54200000000003,162.052,128.524,902.194488,ohc,4,1.5,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,dodge,colt (sw),6.8
27,1,gas,turbo,2,sedan,fwd,front,237.99800000000002,399.54200000000003,162.052,128.524,993.820072,ohc,4,1.6,mpfi,3.03,3.39,7.6,102,5500,24,30,8558.0,dodge,coronet custom,8.7
28,-1,gas,std,4,wagon,fwd,front,262.382,443.484,164.08399999999997,151.892,1149.85572,ohc,4,2.0,2bbl,3.34,3.46,8.5,88,5000,24,30,8921.0,dodge,dart custom,8.7
29,3,gas,turbo,2,hatchback,fwd,front,243.586,439.928,168.402,127.50800000000001,1275.047112,ohc,4,2.6,mfi,3.6,3.9,7.0,145,5000,19,24,12964.0,dodge,coronet custom (sw),10.9
30,2,gas,std,2,hatchback,fwd,front,219.964,367.284,162.306,129.03199999999998,777.003096,ohc,4,1.5,1bbl,2.91,3.41,9.6,58,4800,49,54,6479.0,honda,civic,4.6
31,2,gas,std,2,hatchback,fwd,front,219.964,367.284,162.306,129.03199999999998,825.083848,ohc,4,1.5,1bbl,2.91,3.41,9.2,76,6000,31,38,6855.0,honda,civic cvcc,6.8
32,1,gas,std,2,hatchback,fwd,front,237.99800000000002,381.0,162.56,133.604,833.248504,ohc,4,1.3,1bbl,2.91,3.07,10.1,60,5500,38,42,5399.0,honda,civic,5.9
33,1,gas,std,2,hatchback,fwd,front,237.99800000000002,381.0,162.56,133.604,879.96848,ohc,4,1.5,1bbl,2.91,3.41,9.2,76,6000,30,34,6529.0,honda,accord cvcc,7.4
34,1,gas,std,2,hatchback,fwd,front,237.99800000000002,381.0,162.56,133.604,887.225952,ohc,4,1.5,1bbl,2.91,3.41,9.2,76,6000,30,34,7129.0,honda,civic cvcc,7.4
35,0,gas,std,4,sedan,fwd,front,245.11,415.036,162.56,138.43,911.71992,ohc,4,1.5,1bbl,2.91,3.41,9.2,76,6000,30,34,7295.0,honda,accord lx,7.4
36,0,gas,std,4,wagon,fwd,front,245.11,399.034,162.306,148.082,918.070208,ohc,4,1.5,1bbl,2.92,3.41,9.2,76,6000,30,34,7295.0,honda,civic 1500 gl,7.4
37,0,gas,std,2,hatchback,fwd,front,245.11,425.45,165.608,135.382,1014.231712,ohc,4,1.8,1bbl,3.15,3.58,9.0,86,5800,27,33,7895.0,honda,accord,7.8
38,0,gas,std,2,hatchback,fwd,front,245.11,425.45,165.608,135.382,1038.272088,ohc,4,1.8,1bbl,3.15,3.58,9.0,86,5800,27,33,9095.0,honda,civic 1300,7.8
39,0,gas,std,4,sedan,fwd,front,245.11,445.516,165.608,137.41400000000002,1045.075968,ohc,4,1.8,1bbl,3.15,3.58,9.0,86,5800,27,33,8845.0,honda,prelude,7.8
40,0,gas,std,4,sedan,fwd,front,245.11,445.516,158.75,137.41400000000002,1075.920224,ohc,4,1.8,1bbl,3.15,3.58,9.0,86,5800,27,33,10295.0,honda,accord,7.8
41,0,gas,std,4,sedan,fwd,front,245.11,445.516,165.608,137.41400000000002,1118.10428,ohc,4,1.8,mpfi,3.15,3.58,9.0,101,5800,24,28,12945.0,honda,civic,9.0
42,1,gas,std,2,sedan,fwd,front,245.11,429.514,167.64000000000001,129.54,1040.086456,ohc,4,1.8,2bbl,3.15,3.58,9.1,100,5500,25,31,10345.0,honda,civic (auto),8.4
43,0,gas,std,4,sedan,rwd,front,239.522,433.578,156.972,135.89000000000001,1060.044504,ohc,4,1.8,2bbl,3.31,3.23,8.5,78,4800,24,29,6785.0,isuzu,mu-x,8.9
44,1,gas,std,2,sedan,fwd,front,240.03,395.98600000000005,161.544,132.08,850.0314079999999,ohc,4,1.5,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,isuzu,d-max ,5.8
45,0,gas,std,4,sedan,fwd,front,240.03,395.98600000000005,161.544,132.08,865.907128,ohc,4,1.5,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,isuzu,d-max v-cross,5.8
46,2,gas,std,2,hatchback,rwd,front,243.84,438.404,165.608,130.556,1240.120528,ohc,4,2.0,spfi,3.43,3.23,9.2,90,5000,24,29,11048.0,isuzu,d-max ,8.9
47,0,gas,std,4,sedan,rwd,front,287.02,506.984,176.784,134.112,1844.3050719999999,dohc,6,4.2,mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0,jaguar,xj,13.8
48,0,gas,std,4,sedan,rwd,front,287.02,506.984,176.784,134.112,1844.3050719999999,dohc,6,4.2,mpfi,3.63,4.17,8.1,176,4750,15,19,35550.0,jaguar,xf,13.8
49,0,gas,std,2,sedan,rwd,front,259.08,486.91799999999995,179.32399999999998,121.41199999999999,1791.6884,ohcv,12,5.3,mpfi,3.54,2.76,11.5,262,5000,13,17,36000.0,jaguar,xk,15.7
50,1,gas,std,2,hatchback,fwd,front,236.474,404.114,163.068,137.41400000000002,857.28888,ohc,4,1.5,2bbl,3.03,3.15,9.0,68,5000,30,31,5195.0,mazda,rx3,7.7
51,1,gas,std,2,hatchback,fwd,front,236.474,404.114,163.068,137.41400000000002,861.8248,ohc,4,1.5,2bbl,3.03,3.15,9.0,68,5000,31,38,6095.0,mazda,glc deluxe,6.8
52,1,gas,std,2,hatchback,fwd,front,236.474,404.114,163.068,137.41400000000002,864.09276,ohc,4,1.5,2bbl,3.03,3.15,9.0,68,5000,31,38,6795.0,mazda,rx2 coupe,6.8
